episode,return,success,steps
1,-2900.0148749999935,0,1000
2,-2810.0727500000035,0,1000
3,-2569.6047499999995,0,1000
4,-1806.990875000002,1,989
5,-1932.1708750000028,0,1000
6,-178.19362499999983,1,186
7,-2569.9111250000096,0,1000
8,-2177.5851250000055,0,1000
9,-2704.3989999999962,0,1000
10,-2579.5281250000016,0,1000
11,-2424.183000000011,0,1000
12,-2244.0581250000037,0,1000
13,-2710.078375000006,0,1000
14,-641.1392499999993,1,414
15,-2704.6547500000006,0,1000
16,-2594.7791250000028,0,1000
17,-1336.984875000002,1,548
18,-973.2122500000003,1,407
19,-2001.295124999997,1,706
20,-1651.1413750000065,0,1000
21,-2268.819500000007,0,1000
22,-2082.442125,0,1000
23,-2077.720000000003,0,1000
24,-2369.0884999999976,0,1000
25,-1942.7108749999968,0,1000
26,-2187.666000000001,0,1000
27,-2122.709875000008,0,1000
28,-1852.0619999999974,0,1000
29,-2041.9747500000005,0,1000
30,-1967.3471249999977,0,1000
31,-422.99525000000017,1,293
32,-2223.0848750000005,0,1000
33,-2002.8727500000043,0,1000
34,-1977.198875000001,0,1000
35,-2122.877375000002,0,1000
36,-2228.8414999999995,1,956
37,-2569.5467499999986,0,1000
38,-1782.678500000004,0,1000
39,-2223.21575,0,1000
40,-2092.9318749999984,0,1000
41,-2790.157375000003,0,1000
42,-1732.1456249999997,0,1000
43,-2459.1148750000007,0,1000
44,-1992.6166250000028,0,1000
45,-1887.636125000002,0,1000
46,-1892.179999999998,0,1000
47,-2043.323250000005,0,1000
48,-2313.915375000002,0,1000
49,-2233.5460000000076,0,1000
50,-1912.0881250000011,0,1000
51,-1816.879874999999,0,1000
52,-1478.7111249999982,1,809
53,-2068.3333749999983,0,1000
54,-1953.1093750000114,0,1000
55,-2002.3996250000025,0,1000
56,-1826.5203749999996,0,1000
57,-1782.095999999998,0,1000
58,-2389.2603750000144,0,1000
59,-1496.1497500000053,0,1000
60,-1801.815000000005,0,1000
61,-1681.7125000000003,0,1000
62,-668.1151249999983,1,320
63,-1712.177125000003,0,1000
64,-1536.8021249999997,0,1000
65,-1886.6812500000096,0,1000
66,-1381.2933749999982,0,1000
67,-1762.1378749999992,0,1000
68,-2308.333250000002,0,1000
69,-1660.966749999998,0,1000
70,-1481.6038750000025,0,1000
71,-1467.351125000002,0,1000
72,-1657.026750000003,0,1000
73,-1882.3412499999997,0,1000
74,-1852.7567500000048,0,1000
75,-2002.7701250000039,0,1000
76,-1595.4324999999997,0,1000
77,-1837.186500000005,0,1000
78,-1806.4636250000026,0,1000
79,-1646.3688750000028,0,1000
80,-1570.4003749999938,0,1000
81,-2157.2652499999986,0,1000
82,-1475.7346250000037,1,951
83,-2493.580250000002,0,1000
84,-973.4358749999994,1,680
85,-1265.368,0,1000
86,-1766.626375000002,0,1000
87,-1691.306375000001,0,1000
88,-1993.1267499999974,0,1000
89,-1676.1145000000006,0,1000
90,-1531.4619999999989,0,1000
91,-1766.6892499999967,0,1000
92,-2032.8687499999974,0,1000
93,-1897.0136249999985,0,1000
94,-1952.4376249999973,0,1000
95,-1481.4284999999934,0,1000
96,-1466.5976250000003,0,1000
97,-1566.9516249999972,0,1000
98,-1350.9788749999996,0,1000
99,-1345.882249999998,0,1000
100,-1742.0923749999974,0,1000
101,-1491.187375000002,0,1000
102,-1365.789,0,1000
103,-1320.9984999999947,0,1000
104,-1596.7821249999981,0,1000
105,-1536.7872500000005,0,1000
106,-1832.0293749999983,0,1000
107,-1792.3546249999972,0,1000
108,-1391.428749999994,0,1000
109,-1431.358499999998,0,1000
110,-1536.2154999999918,0,1000
111,-1973.3954999999964,0,1000
112,-1279.0818749999971,0,1000
113,-1522.3878750000001,0,1000
114,-1421.9104999999981,0,1000
115,-1436.4833750000007,0,1000
116,-467.3108749999999,1,346
117,-1285.0683750000017,0,1000
118,-1722.7316250000013,0,1000
119,-1652.7067499999982,0,1000
120,-1974.5546250000018,0,1000
121,-1391.8745000000006,0,1000
122,-1521.2537500000017,0,1000
123,-1583.087125000015,0,1000
124,-1436.9782499999935,0,1000
125,-1185.130124999997,0,1000
126,-1442.1125000000025,0,1000
127,-1603.0590000000007,0,1000
128,-1536.5647499999948,0,1000
129,-1396.516000000012,0,1000
130,-1350.6241249999969,0,1000
131,-1682.1475000000044,0,1000
132,-1285.778874999999,0,1000
133,-1462.078374999993,0,1000
134,-1601.9575000000016,0,1000
135,-1632.9049999999968,0,1000
136,-1360.9566250000023,0,1000
137,-1551.667749999996,0,1000
138,-1350.4456250000026,0,1000
139,-1375.8219999999967,0,1000
140,-1727.7942499999988,0,1000
141,-1235.8601249999954,0,1000
142,-1290.9111249999958,0,1000
143,-1135.1651249999954,0,1000
144,-1204.6324999999956,0,1000
145,-1457.3121249999942,0,1000
146,-1280.7009999999964,0,1000
147,-1220.5313749999955,0,1000
148,-1220.1146249999952,0,1000
149,-1261.1503750000004,0,1000
150,-1131.1821249999946,0,1000
151,-1175.9192499999965,0,1000
152,-1526.9262500000054,0,1000
153,-1159.6374999999985,0,1000
154,-1467.0018749999954,0,1000
155,-1496.1423749999933,0,1000
156,-1305.393999999998,0,1000
157,-1225.7534999999925,0,1000
158,-1275.6275000000098,0,1000
159,-1149.5786249999921,0,1000
160,-1386.2015000000088,0,1000
161,-1275.8259999999968,0,1000
162,-1157.845374999997,0,1000
163,-1408.6341249999973,0,1000
164,-1052.536999999997,0,1000
165,-1059.409874999993,0,1000
166,-1178.5952500000083,0,1000
167,-1370.9620000000007,0,1000
168,-1298.4897499999954,0,1000
169,-943.4709999999947,0,1000
170,-1028.9499999999955,0,1000
171,-1270.3301249999963,0,1000
172,-1322.0052500000038,0,1000
173,-1184.8444999999972,0,1000
174,-1154.9233749999937,0,1000
175,-1377.1363749999941,0,1000
176,-1004.4256249999967,0,1000
177,-1033.8099999999977,0,1000
178,-1140.0812500000018,0,1000
179,-371.6241249999992,1,396
180,-1187.297249999998,0,1000
181,-370.22537499999936,1,449
182,-325.03937499999927,1,439
183,-1123.2746250000025,1,911
184,-1294.0958750000002,1,955
185,-292.20112499999954,1,295
186,-1069.600874999998,1,795
187,-1166.5336249999993,1,922
188,-1488.2416250000117,0,1000
189,-1421.7028750000063,0,1000
190,-1273.3611249999988,0,1000
191,-698.6006249999974,1,662
192,-1169.2962499999994,0,1000
193,-899.8744999999984,1,733
194,-649.9256249999986,1,592
195,-906.3767499999902,1,940
196,-1035.6022499999945,0,1000
197,-560.1349999999995,1,541
198,-507.64562499999874,1,379
199,-506.6878749999987,1,703
200,-43.497375000000204,1,131
201,-24.205000000000112,1,85
202,-102.40687500000018,1,226
203,-356.97437499999916,1,393
204,-575.156374999998,1,566
205,-369.6496249999993,1,501
206,-1569.5694999999969,0,1000
207,-672.4397499999961,1,503
